,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Year,Population,Birth Rate per Year,Death Rate per year,Industrial CO2,Transporation CO2,Industry CO2,Waste CO2,Nitrogen,Phosphorous,Built Up Land,Forest Amount,Forest CO2,Grazing,Fishing Grounds,Livestock Density,Crop Land,Food Supply
1,1961.0,3090305.2789999996,310914.0,126476.9752127511,27.686278609783272,66890564.35710351,13057283.430636823,4811397.177951844,9500.0,2160.4444116663417,107384552.24331081,107384552.24331081,87873491.98243672,807892557.1088867,335794651.84825957,2135.4844142023153,838962326.5593917,800978.1336867783
2,1962.0,3149244.245,306937.0,123777.2808692648,28.72550288080106,68588794.43192804,13364794.601748887,4870340.387212234,9500.0,2177.4524246575947,109631056.46482098,109631056.46482098,90810795.57649866,830510794.6796875,340384003.78770494,2135.1998906747067,839499402.7060604,808144.6339714141
3,1963.0,3210271.352,303024.0,121190.02857503066,29.801545694046176,70347190.88033083,13683200.546351835,4931371.887806545,9500.0,2194.7308222110623,112031428.66686836,112031428.66686836,93915732.47000572,842427459.9018555,345135951.28317314,2134.9053081469547,840055467.1460637,815565.0448075626
4,1964.0,3273670.772,299173.0,118710.53512786663,30.919417630117294,72173941.65452038,14013983.917950608,4994775.8721934995,9500.0,2212.336444544557,114605144.07069358,114605144.07069358,97209862.32312296,847513323.3876953,350072621.72182167,2134.5992972838258,840633104.7508556,823273.9203160786
5,1965.0,3339592.688,295383.0,116334.31238057984,32.08176674732432,74073374.03243577,14357928.288998974,5060702.534185394,9500.0,2230.284597707672,117367752.12759605,117367752.12759605,100709078.27783102,849043461.4399414,355205709.2796616,2134.281135911649,841233678.7973768,831289.5227937659
6,1966.0,3408121.405,291654.0,114057.05911694177,33.290079529196134,76047917.12500611,14715473.516709229,5129236.184851693,9500.0,2248.570746322881,120333081.78017396,120333081.78017396,104426666.87012836,849718189.8417969,360541778.4647173,2133.950420105143,841857951.832497,839622.1044084148
7,1967.0,3479053.8210000005,287984.0,111874.65326602935,34.54077483846115,78091718.87970883,15085559.926334536,5200173.707570245,9500.0,2267.115042770318,123502784.9539654,123502784.9539654,108360545.26246327,851602234.9912109,366065014.50077444,2133.608133023919,842504068.085485,848246.9708104264
8,1968.0,3551880.7,284373.0,109783.14444083702,35.82487371863618,80190106.49264058,15465530.603962751,5273005.8296790365,9500.0,2285.765331634453,126863363.02648614,126863363.02648614,112490394.02053243,856028787.4599609,371735765.12748885,2133.25673466625,843167384.0279087,857102.2037912399
9,1969.0,3625905.514,280819.0,107778.74678765601,37.13009484121875,82323010.64671227,15851751.448836284,5347035.973032134,9500.0,2304.3345485126774,130389507.61307386,130389507.61307386,116782562.2177632,863541912.0263672,377499794.3725553,2132.899587826343,843841551.9465297,866103.1113540395
10,1970.0,3700577.65,277322.0,105857.83213327585,38.44672968174072,84474566.32732236,16241349.66457015,5421713.484988624,9500.0,2322.6859586842584,134059137.61705855,134059137.61705855,121208672.9854817,874005143.0541992,383314228.10683775,2132.5393502335664,844521555.013663,875182.7432828436
